,Species,Population 1,Population 2,ave_dist,short_dist,PhiST value,Pop 1 size eDNA,Pop 2 size eDNA,p-value,fdr p-value,bonferroni p-value,sig p-value,sig fdr,sig bon,previous long phist,previous long pvalue,previous long fdr pvalue,previous short phist,previous short pvalue,previous short fdr pvalue,Pop 1 size tissue,Pop 2 size tissue
20,Acanthurus nigrofuscus,Hawaii,Maui,151,46,-0.00267678,173,97,0.636363636,0.905094905,1,no,no,no,0.002458022,0.35964036,0.861638362,-0.009151518,0.521478521,0.975024975,33,36
21,Acanthurus nigrofuscus,Hawaii,Oahu,329,250,-0.000445364,173,126,0.431568432,0.905094905,1,no,no,no,-0.00323309,0.440559441,0.861638362,-0.00777383,0.541458541,0.975024975,33,39
22,Acanthurus nigrofuscus,Maui,Kauai,353,297,-0.006389523,97,86,0.905094905,0.905094905,1,no,no,no,-0.019286179,0.883116883,0.984015984,-0.02022725,0.824175824,0.975024975,36,26
23,Acanthurus nigrofuscus,Maui,Oahu,183,107,-0.004132172,97,126,0.828171828,0.905094905,1,no,no,no,-0.007173524,0.574425574,0.861638362,-0.001707554,0.437562438,0.975024975,36,39
24,Acanthurus nigrofuscus,Oahu,Kauai,180,116,-0.004686391,126,86,0.814185814,0.905094905,1,no,no,no,-0.024032697,0.984015984,0.984015984,-0.026762529,0.975024975,0.975024975,39,26
45,Acanthurus nigroris,Hawaii,Kauai,490,429,0,4,4,0.999000999,0.999000999,1,no,no,no,-0.000803253,0.31968032,0.47952048,0.001923475,0.101898102,0.305694306,32,34
46,Acanthurus nigroris,Hawaii,Maui,151,46,0.384615385,4,2,0.347652348,0.870629371,1,no,no,no,,,,,,,,
47,Acanthurus nigroris,Hawaii,Oahu,329,250,-0.108910891,4,8,0.893106893,0.999000999,1,no,no,no,-0.021515398,0.963036963,0.963036963,-0.003138294,0.999000999,0.999000999,32,29
48,Acanthurus nigroris,Maui,Kauai,353,297,0.111111111,2,4,0.58041958,0.870629371,1,no,no,no,,,,,,,,
49,Acanthurus nigroris,Maui,Oahu,183,107,0.157894737,2,8,0.303696304,0.870629371,1,no,no,no,,,,,,,,
50,Acanthurus nigroris,Oahu,Kauai,180,116,-6.66E-16,8,4,0.553446553,0.870629371,1,no,no,no,0.003975931,0.230769231,0.47952048,0,0.999000999,0.999000999,29,34
109,Caranx ignobilis,Hawaii,Kauai,490,429,-0.126392518,7,5,0.729270729,0.729270729,0.729270729,no,no,no,0.0001,1,1,,,,18,3
110,Caranx melampygus,Hawaii,Kauai,490,429,-0.002232298,24,38,0.518481518,0.777722278,1,no,no,no,0.0001,1,1,,,,26,6
111,Caranx melampygus,Hawaii,Maui,151,46,5.30982849048188e-05,24,22,0.337662338,0.777722278,1,no,no,no,0.0001,1,1,,,,26,4
112,Caranx melampygus,Hawaii,Oahu,329,250,-0.012548914,24,28,0.821178821,0.889110889,1,no,no,no,0.0001,1,1,,,,26,21
113,Caranx melampygus,Maui,Kauai,353,297,0.000666218,22,38,0.445554446,0.777722278,1,no,no,no,0.0001,1,1,,,,4,6
114,Caranx melampygus,Maui,Oahu,183,107,-0.00282874,22,28,0.375624376,0.777722278,1,no,no,no,0.0001,1,1,,,,4,21
115,Caranx melampygus,Oahu,Kauai,180,116,-0.011463548,28,38,0.889110889,0.889110889,1,no,no,no,0.0001,1,1,,,,21,6
122,Cephalopholis argus,Hawaii,Kauai,490,429,-0.263157895,4,2,0.999000999,0.999000999,1,no,no,no,0.004814051,0.288711289,0.577422577,-0.000134636,0.397602398,0.795204795,51,23
123,Cephalopholis argus,Hawaii,Maui,151,46,-0.226415094,4,5,0.999000999,0.999000999,1,no,no,no,0.025905849,0.078921079,0.236763237,0.035411956,0.098901099,0.296703297,51,53
124,Cephalopholis argus,Hawaii,Oahu,329,250,-0.379310345,4,2,0.999000999,0.999000999,1,no,no,no,0.027815636,0.063936064,0.236763237,0.047978365,0.070929071,0.296703297,51,53
125,Cephalopholis argus,Maui,Kauai,353,297,-0.016949153,5,2,0.528471528,0.999000999,1,no,no,no,-0.01421217,0.587412587,0.704895105,-0.028312669,0.79020979,0.973426573,53,23
126,Cephalopholis argus,Maui,Oahu,183,107,-0.504424779,5,2,0.999000999,0.999000999,1,no,no,no,-0.011913215,0.828171828,0.828171828,-0.018495924,0.999000999,0.999000999,53,53
127,Cephalopholis argus,Oahu,Kauai,180,116,0,2,2,0.999000999,0.999000999,1,no,no,no,-0.012402147,0.558441558,0.704895105,-0.02421985,0.811188811,0.973426573,53,23
136,Chaetodon miliaris,Hawaii,Kauai,490,429,0.111111111,2,4,0.403596404,0.403596404,0.403596404,no,no,no,-0.017032106,0.413586414,0.618381618,-0.04763749,0.67032967,0.96983017,10,18
137,Chaetodon multicinctus,Hawaii,Kauai,490,429,0.449131029,13,7,0.002997003,0.008991009,0.008991009,yes,yes,yes,-0.01288093,0.81018981,0.944055944,-0.010869565,0.741258741,0.999000999,31,31
138,Chaetodon multicinctus,Hawaii,Oahu,329,250,0.163051085,13,3,0.214785215,0.214785215,0.644355644,no,no,no,0.016381136,0.12987013,0.38961039,-0.02373581,0.88011988,0.999000999,31,16
139,Chaetodon multicinctus,Oahu,Kauai,180,116,0.332061069,3,7,0.116883117,0.175324675,0.350649351,no,no,no,0.0308826,0.035964036,0.215784216,-0.02373581,0.689310689,0.999000999,16,31
160,Chromis vanderbilti,Hawaii,Kauai,490,429,0.002601887,48,29,0.25974026,0.336663337,1,no,no,no,-0.008506118,0.634365634,0.948051948,-0.00795195,0.723276723,0.736263736,32,30
161,Chromis vanderbilti,Hawaii,Maui,151,46,0.002232202,48,32,0.286713287,0.336663337,1,no,no,no,-0.001883991,0.407592408,0.948051948,0.008875645,0.4995005,0.736263736,32,30
162,Chromis vanderbilti,Hawaii,Oahu,329,250,0.003436925,48,26,0.253746254,0.336663337,1,no,no,no,-0.00158027,0.383616384,0.948051948,0.022462103,0.024975025,0.14985015,32,33
163,Chromis vanderbilti,Maui,Kauai,353,297,0.004877605,32,29,0.294705295,0.336663337,1,no,no,no,-0.017183716,0.948051948,0.948051948,-0.013513514,0.599400599,0.736263736,30,30
164,Chromis vanderbilti,Maui,Oahu,183,107,0.005604234,32,26,0.277722278,0.336663337,1,no,no,no,-0.012426944,0.59040959,0.948051948,0.000146988,0.736263736,0.736263736,30,33
165,Chromis vanderbilti,Oahu,Kauai,180,116,0.005265246,26,29,0.336663337,0.336663337,1,no,no,no,-0.017076191,0.849150849,0.948051948,0.001997218,0.118881119,0.356643357,33,30
279,Lutjanus fulvus,Hawaii,Kauai,490,429,0.027777778,10,10,0.304695305,0.651848152,0.914085914,no,no,no,-0.018378261,0.67032967,0.98001998,,,,40,27
280,Lutjanus fulvus,Hawaii,Oahu,329,250,0.019480135,10,8,0.434565435,0.651848152,1,no,no,no,-0.018444266,0.821178821,0.98001998,,,,40,40
281,Lutjanus fulvus,Oahu,Kauai,180,116,-0.010511439,8,10,0.659340659,0.659340659,1,no,no,no,-0.021538678,0.778221778,0.98001998,,,,40,27
282,Lutjanus kasmira,Oahu,Kauai,180,116,0.132231405,2,10,0.401598402,0.401598402,0.401598402,no,no,no,0.001,1,1,,,,50,36
295,Mulloidichthys flavolineatus,Hawaii,Kauai,490,429,0.058175945,13,7,0.085914086,0.217782218,0.515484515,no,no,no,-0.013135232,0.999000999,0.999000999,-0.012685075,0.969030969,0.969030969,83,60
296,Mulloidichthys flavolineatus,Hawaii,Maui,151,46,0.007738437,13,19,0.234765235,0.280719281,1,no,no,no,0.034112295,0.027972028,0.038361638,0.0053262,0.168831169,0.251748252,83,25
297,Mulloidichthys flavolineatus,Hawaii,Oahu,329,250,0.01623433,13,20,0.193806194,0.280719281,1,no,no,no,0.115702448,0,0,0.224355207,0,0,83,57
298,Mulloidichthys flavolineatus,Maui,Kauai,353,297,0.111662203,19,7,0.056943057,0.217782218,0.341658342,no,no,no,0.042585502,0.031968032,0.038361638,0.004626863,0.20979021,0.251748252,25,60
299,Mulloidichthys flavolineatus,Maui,Oahu,183,107,0.018056554,19,20,0.280719281,0.280719281,1,no,no,no,0.093829812,0,0,0.118462735,0,0,25,57
300,Mulloidichthys flavolineatus,Oahu,Kauai,180,116,0.081669322,20,7,0.108891109,0.217782218,0.653346653,no,no,no,0.103036697,0,0,0.192381152,0,0,57,60
461,Stenella longirostris,Hawaii,Kauai,490,429,0.151414309,5,6,0.138861139,0.138861139,0.138861139,no,no,no,0.024,0.00001,0.000001,,,,79,32
740,Zebrasoma flavescens,Hilo,Kauai,555,544,0.016216216,13,8,0.34965035,0.437062937,1,no,no,no,-0.022648084,0.993006993,0.993006993,-0.022256098,0.856143856,0.97014097,42,42
741,Zebrasoma flavescens,Hilo,Kona,184,123,0.044416442,13,77,0.082917083,0.276390276,0.829170829,no,no,no,-0.004855462,0.406593407,0.902430902,-0.014615309,0.683316683,0.97014097,42,54
742,Zebrasoma flavescens,Hilo,Maui,305,183,0.0016,13,26,0.341658342,0.437062937,1,no,no,no,-0.016941435,0.724275724,0.902430902,-0.024546467,0.984015984,0.984015984,42,39
743,Zebrasoma flavescens,Hilo,Oahu,392,344,0.009245377,13,6,0.340659341,0.437062937,1,no,no,no,-0.021518925,0.808191808,0.902430902,-0.020546654,0.72027972,0.97014097,42,35
744,Zebrasoma flavescens,Kona,Kauai,457,429,-0.016506345,77,8,0.506493506,0.562770563,1,no,no,no,-0.004836203,0.453546454,0.902430902,-0.011321728,0.586413586,0.97014097,54,42
745,Zebrasoma flavescens,Kona,Maui,127,90,0.031165638,77,26,0.081918082,0.276390276,0.819180819,no,no,no,-0.01395387,0.714285714,0.902430902,-0.01457174,0.665334665,0.97014097,54,39
746,Zebrasoma flavescens,Kona,Oahu,284,250,0.106554512,77,6,0.058941059,0.276390276,0.589410589,no,no,no,-0.012555735,0.612387612,0.902430902,-0.013977325,0.662337662,0.97014097,54,35
747,Zebrasoma flavescens,Maui,Kauai,353,297,-0.047874025,26,8,0.611388611,0.611388611,1,no,no,no,-0.01890166,0.812187812,0.902430902,-0.022827416,0.873126873,0.97014097,39,42
748,Zebrasoma flavescens,Maui,Oahu,183,107,0.037840657,26,6,0.194805195,0.38961039,1,no,no,no,-0.020834542,0.8001998,0.902430902,-0.023324766,0.801198801,0.97014097,39,35
749,Zebrasoma flavescens,Oahu,Kauai,180,116,0.079452055,6,8,0.183816184,0.38961039,1,no,no,no,-0.017522899,0.668331668,0.902430902,-0.013337199,0.513486513,0.97014097,35,42
